specimen_code,genus,species,subfamily,split,image_path
casent0003280,Mystrium,Mystrium labyrinth,amblyoponinae,train,data/images/Mystrium/casent0003280_p.jpg
casent0003307,Mystrium,Mystrium mysticum,amblyoponinae,train,data/images/Mystrium/casent0003307_p.jpg
casent0003308,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0003308_p.jpg
casent0003309,Mystrium,Mystrium mysticum,amblyoponinae,train,data/images/Mystrium/casent0003309_p.jpg
casent0003310,Mystrium,Mystrium mysticum,amblyoponinae,train,data/images/Mystrium/casent0003310_p.jpg
casent0003327,Monomorium,Monomorium termitobium,myrmicinae,train,data/images/Monomorium/casent0003327_p.jpg
casent0003806,Mystrium,Mystrium mysticum,amblyoponinae,test,data/images/Mystrium/casent0003806_p.jpg
casent0003814,Leptogenys,Leptogenys falcigera,ponerinae,train,data/images/Leptogenys/casent0003814_p.jpg
casent0003992,Monomorium,Monomorium termitobium,myrmicinae,test,data/images/Monomorium/casent0003992_p.jpg
casent0004369,Strumigenys,Strumigenys cabira,myrmicinae,train,data/images/Strumigenys/casent0004369_p.jpg
casent0004370,Strumigenys,Strumigenys bola,myrmicinae,train,data/images/Strumigenys/casent0004370_p.jpg
casent0005445,Strumigenys,Strumigenys ambatrix,myrmicinae,train,data/images/Strumigenys/casent0005445_p.jpg
casent0005446,Strumigenys,Strumigenys ambatrix,myrmicinae,train,data/images/Strumigenys/casent0005446_p.jpg
casent0005447,Strumigenys,Strumigenys ambatrix,myrmicinae,train,data/images/Strumigenys/casent0005447_p.jpg
casent0005448,Strumigenys,Strumigenys erynnes,myrmicinae,train,data/images/Strumigenys/casent0005448_p.jpg
casent0005449,Strumigenys,Strumigenys erynnes,myrmicinae,train,data/images/Strumigenys/casent0005449_p.jpg
casent0005450,Strumigenys,Strumigenys erynnes,myrmicinae,train,data/images/Strumigenys/casent0005450_p.jpg
casent0005451,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005451_p.jpg
casent0005453,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005453_p.jpg
casent0005454,Strumigenys,,myrmicinae,test,data/images/Strumigenys/casent0005454_p.jpg
casent0005455,Strumigenys,Strumigenys olsoni,myrmicinae,train,data/images/Strumigenys/casent0005455_p.jpg
casent0005456,Strumigenys,Strumigenys serket,myrmicinae,train,data/images/Strumigenys/casent0005456_p.jpg
casent0005457,Strumigenys,Strumigenys seti,myrmicinae,train,data/images/Strumigenys/casent0005457_p.jpg
casent0005458,Strumigenys,Strumigenys seti,myrmicinae,train,data/images/Strumigenys/casent0005458_p.jpg
casent0005459,Strumigenys,Strumigenys seti,myrmicinae,train,data/images/Strumigenys/casent0005459_p.jpg
casent0005461,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005461_p.jpg
casent0005462,Strumigenys,Strumigenys victrix,myrmicinae,test,data/images/Strumigenys/casent0005462_p.jpg
casent0005463,Strumigenys,Strumigenys victrix,myrmicinae,train,data/images/Strumigenys/casent0005463_p.jpg
casent0005464,Strumigenys,Strumigenys victrix,myrmicinae,train,data/images/Strumigenys/casent0005464_p.jpg
casent0005465,Strumigenys,Strumigenys abdera,myrmicinae,train,data/images/Strumigenys/casent0005465_p.jpg
casent0005466,Strumigenys,Strumigenys abdera,myrmicinae,train,data/images/Strumigenys/casent0005466_p.jpg
casent0005467,Strumigenys,Strumigenys actis,myrmicinae,train,data/images/Strumigenys/casent0005467_p.jpg
casent0005468,Strumigenys,Strumigenys admixta,myrmicinae,train,data/images/Strumigenys/casent0005468_p.jpg
casent0005469,Strumigenys,Strumigenys admixta,myrmicinae,train,data/images/Strumigenys/casent0005469_p.jpg
casent0005470,Strumigenys,Strumigenys admixta,myrmicinae,train,data/images/Strumigenys/casent0005470_p.jpg
casent0005472,Strumigenys,Strumigenys adsita,myrmicinae,train,data/images/Strumigenys/casent0005472_p.jpg
casent0005473,Strumigenys,Strumigenys adsita,myrmicinae,test,data/images/Strumigenys/casent0005473_p.jpg
casent0005474,Strumigenys,Strumigenys adsita,myrmicinae,test,data/images/Strumigenys/casent0005474_p.jpg
casent0005478,Strumigenys,Strumigenys agra,myrmicinae,train,data/images/Strumigenys/casent0005478_p.jpg
casent0005479,Strumigenys,Strumigenys agra,myrmicinae,train,data/images/Strumigenys/casent0005479_p.jpg
casent0005481,Strumigenys,Strumigenys agra,myrmicinae,train,data/images/Strumigenys/casent0005481_p.jpg
casent0005483,Strumigenys,Strumigenys alapa,myrmicinae,train,data/images/Strumigenys/casent0005483_p.jpg
casent0005484,Strumigenys,Strumigenys ampyx,myrmicinae,train,data/images/Strumigenys/casent0005484_p.jpg
casent0005485,Strumigenys,Strumigenys ampyx,myrmicinae,test,data/images/Strumigenys/casent0005485_p.jpg
casent0005486,Strumigenys,Strumigenys ampyx,myrmicinae,train,data/images/Strumigenys/casent0005486_p.jpg
casent0005487,Strumigenys,Strumigenys apios,myrmicinae,train,data/images/Strumigenys/casent0005487_p.jpg
casent0005488,Strumigenys,Strumigenys apios,myrmicinae,train,data/images/Strumigenys/casent0005488_p.jpg
casent0005489,Strumigenys,Strumigenys apios,myrmicinae,train,data/images/Strumigenys/casent0005489_p.jpg
casent0005490,Strumigenys,Strumigenys balux,myrmicinae,train,data/images/Strumigenys/casent0005490_p.jpg
casent0005492,Strumigenys,Strumigenys bathron,myrmicinae,train,data/images/Strumigenys/casent0005492_p.jpg
casent0005493,Strumigenys,Strumigenys bibiolona,myrmicinae,train,data/images/Strumigenys/casent0005493_p.jpg
casent0005495,Strumigenys,Strumigenys bibiolona,myrmicinae,train,data/images/Strumigenys/casent0005495_p.jpg
casent0005496,Strumigenys,Strumigenys bibiolona,myrmicinae,test,data/images/Strumigenys/casent0005496_p.jpg
casent0005497,Strumigenys,Strumigenys bola,myrmicinae,train,data/images/Strumigenys/casent0005497_p.jpg
casent0005498,Strumigenys,Strumigenys bola,myrmicinae,train,data/images/Strumigenys/casent0005498_p.jpg
casent0005499,Strumigenys,Strumigenys bola,myrmicinae,train,data/images/Strumigenys/casent0005499_p.jpg
casent0005500,Strumigenys,Strumigenys carolinae,myrmicinae,train,data/images/Strumigenys/casent0005500_p.jpg
casent0005501,Strumigenys,Strumigenys carisa,myrmicinae,train,data/images/Strumigenys/casent0005501_p.jpg
casent0005502,Strumigenys,Strumigenys carolinae,myrmicinae,train,data/images/Strumigenys/casent0005502_p.jpg
casent0005503,Strumigenys,Strumigenys carolinae,myrmicinae,train,data/images/Strumigenys/casent0005503_p.jpg
casent0005504,Strumigenys,Strumigenys carolinae,myrmicinae,train,data/images/Strumigenys/casent0005504_p.jpg
casent0005506,Strumigenys,Strumigenys charino,myrmicinae,train,data/images/Strumigenys/casent0005506_p.jpg
casent0005507,Strumigenys,Strumigenys charino,myrmicinae,train,data/images/Strumigenys/casent0005507_p.jpg
casent0005508,Strumigenys,Strumigenys chilo,myrmicinae,train,data/images/Strumigenys/casent0005508_p.jpg
casent0005509,Strumigenys,Strumigenys chilo,myrmicinae,train,data/images/Strumigenys/casent0005509_p.jpg
casent0005510,Strumigenys,Strumigenys chroa,myrmicinae,train,data/images/Strumigenys/casent0005510_p.jpg
casent0005511,Strumigenys,Strumigenys chroa,myrmicinae,train,data/images/Strumigenys/casent0005511_p.jpg
casent0005512,Strumigenys,Strumigenys covina,myrmicinae,test,data/images/Strumigenys/casent0005512_p.jpg
casent0005513,Strumigenys,Strumigenys deverra,myrmicinae,train,data/images/Strumigenys/casent0005513_p.jpg
casent0005514,Strumigenys,Strumigenys deverra,myrmicinae,test,data/images/Strumigenys/casent0005514_p.jpg
casent0005515,Strumigenys,Strumigenys deverra,myrmicinae,train,data/images/Strumigenys/casent0005515_p.jpg
casent0005516,Strumigenys,Strumigenys deverra,myrmicinae,train,data/images/Strumigenys/casent0005516_p.jpg
casent0005517,Strumigenys,Strumigenys dexis,myrmicinae,train,data/images/Strumigenys/casent0005517_p.jpg
casent0005518,Strumigenys,Strumigenys dicomas,myrmicinae,train,data/images/Strumigenys/casent0005518_p.jpg
casent0005519,Strumigenys,Strumigenys dicomas,myrmicinae,train,data/images/Strumigenys/casent0005519_p.jpg
casent0005521,Strumigenys,Strumigenys dicomas,myrmicinae,train,data/images/Strumigenys/casent0005521_p.jpg
casent0005522,Strumigenys,Strumigenys diota,myrmicinae,train,data/images/Strumigenys/casent0005522_p.jpg
casent0005523,Strumigenys,Strumigenys dolabra,myrmicinae,train,data/images/Strumigenys/casent0005523_p.jpg
casent0005524,Strumigenys,Strumigenys dora,myrmicinae,train,data/images/Strumigenys/casent0005524_p.jpg
casent0005527,Strumigenys,Strumigenys doxa,myrmicinae,train,data/images/Strumigenys/casent0005527_p.jpg
casent0005528,Strumigenys,Strumigenys ection,myrmicinae,train,data/images/Strumigenys/casent0005528_p.jpg
casent0005529,Strumigenys,Strumigenys epulo,myrmicinae,train,data/images/Strumigenys/casent0005529_p.jpg
casent0005531,Strumigenys,Strumigenys epulo,myrmicinae,train,data/images/Strumigenys/casent0005531_p.jpg
casent0005532,Strumigenys,Strumigenys epulo,myrmicinae,train,data/images/Strumigenys/casent0005532_p.jpg
casent0005533,Strumigenys,Strumigenys europs,myrmicinae,train,data/images/Strumigenys/casent0005533_p.jpg
casent0005534,Strumigenys,Strumigenys europs,myrmicinae,train,data/images/Strumigenys/casent0005534_p.jpg
casent0005535,Strumigenys,Strumigenys fanano,myrmicinae,train,data/images/Strumigenys/casent0005535_p.jpg
casent0005536,Strumigenys,Strumigenys finator,myrmicinae,test,data/images/Strumigenys/casent0005536_p.jpg
casent0005537,Strumigenys,Strumigenys finator,myrmicinae,train,data/images/Strumigenys/casent0005537_p.jpg
casent0005538,Strumigenys,Strumigenys fronto,myrmicinae,train,data/images/Strumigenys/casent0005538_p.jpg
casent0005539,Strumigenys,Strumigenys fronto,myrmicinae,train,data/images/Strumigenys/casent0005539_p.jpg
casent0005540,Strumigenys,Strumigenys fronto,myrmicinae,test,data/images/Strumigenys/casent0005540_p.jpg
casent0005541,Strumigenys,Strumigenys fronto,myrmicinae,train,data/images/Strumigenys/casent0005541_p.jpg
casent0005542,Strumigenys,Strumigenys glycon,myrmicinae,test,data/images/Strumigenys/casent0005542_p.jpg
casent0005543,Strumigenys,Strumigenys glycon,myrmicinae,train,data/images/Strumigenys/casent0005543_p.jpg
casent0005544,Strumigenys,Strumigenys glycon,myrmicinae,test,data/images/Strumigenys/casent0005544_p.jpg
casent0005546,Strumigenys,Strumigenys diux,myrmicinae,train,data/images/Strumigenys/casent0005546_p.jpg
casent0005549,Strumigenys,Strumigenys gorgon,myrmicinae,train,data/images/Strumigenys/casent0005549_p.jpg
casent0005551,Strumigenys,Strumigenys heliani,myrmicinae,train,data/images/Strumigenys/casent0005551_p.jpg
casent0005552,Strumigenys,Strumigenys hilaris,myrmicinae,train,data/images/Strumigenys/casent0005552_p.jpg
casent0005553,Strumigenys,Strumigenys hilaris,myrmicinae,train,data/images/Strumigenys/casent0005553_p.jpg
casent0005556,Strumigenys,Strumigenys inatos,myrmicinae,test,data/images/Strumigenys/casent0005556_p.jpg
casent0005557,Strumigenys,Strumigenys inatos,myrmicinae,test,data/images/Strumigenys/casent0005557_p.jpg
casent0005558,Strumigenys,Strumigenys inatos,myrmicinae,test,data/images/Strumigenys/casent0005558_p.jpg
casent0005559,Strumigenys,Strumigenys inatos,myrmicinae,test,data/images/Strumigenys/casent0005559_p.jpg
casent0005560,Strumigenys,Strumigenys ipsea,myrmicinae,train,data/images/Strumigenys/casent0005560_p.jpg
casent0005561,Strumigenys,Strumigenys ipsea,myrmicinae,train,data/images/Strumigenys/casent0005561_p.jpg
casent0005562,Strumigenys,Strumigenys ipsea,myrmicinae,train,data/images/Strumigenys/casent0005562_p.jpg
casent0005563,Strumigenys,Strumigenys ipsea,myrmicinae,test,data/images/Strumigenys/casent0005563_p.jpg
casent0005564,Strumigenys,Strumigenys labaris,myrmicinae,test,data/images/Strumigenys/casent0005564_p.jpg
casent0005565,Strumigenys,Strumigenys labaris,myrmicinae,train,data/images/Strumigenys/casent0005565_p.jpg
casent0005566,Strumigenys,Strumigenys langrandi,myrmicinae,test,data/images/Strumigenys/casent0005566_p.jpg
casent0005568,Strumigenys,Strumigenys langrandi,myrmicinae,train,data/images/Strumigenys/casent0005568_p.jpg
casent0005569,Strumigenys,Strumigenys levana,myrmicinae,train,data/images/Strumigenys/casent0005569_p.jpg
casent0005570,Strumigenys,Strumigenys levana,myrmicinae,train,data/images/Strumigenys/casent0005570_p.jpg
casent0005571,Strumigenys,Strumigenys levana,myrmicinae,test,data/images/Strumigenys/casent0005571_p.jpg
casent0005572,Strumigenys,Strumigenys levana,myrmicinae,train,data/images/Strumigenys/casent0005572_p.jpg
casent0005573,Strumigenys,Strumigenys lexex,myrmicinae,train,data/images/Strumigenys/casent0005573_p.jpg
casent0005574,Strumigenys,Strumigenys lexex,myrmicinae,train,data/images/Strumigenys/casent0005574_p.jpg
casent0005575,Strumigenys,Strumigenys lexex,myrmicinae,test,data/images/Strumigenys/casent0005575_p.jpg
casent0005576,Strumigenys,Strumigenys lexex,myrmicinae,train,data/images/Strumigenys/casent0005576_p.jpg
casent0005577,Strumigenys,Strumigenys livens,myrmicinae,train,data/images/Strumigenys/casent0005577_p.jpg
casent0005578,Strumigenys,Strumigenys livens,myrmicinae,test,data/images/Strumigenys/casent0005578_p.jpg
casent0005579,Strumigenys,Strumigenys livens,myrmicinae,train,data/images/Strumigenys/casent0005579_p.jpg
casent0005580,Strumigenys,Strumigenys livens,myrmicinae,test,data/images/Strumigenys/casent0005580_p.jpg
casent0005581,Strumigenys,Strumigenys luca,myrmicinae,train,data/images/Strumigenys/casent0005581_p.jpg
casent0005582,Strumigenys,Strumigenys luca,myrmicinae,train,data/images/Strumigenys/casent0005582_p.jpg
casent0005583,Strumigenys,Strumigenys luca,myrmicinae,train,data/images/Strumigenys/casent0005583_p.jpg
casent0005584,Strumigenys,Strumigenys luca,myrmicinae,train,data/images/Strumigenys/casent0005584_p.jpg
casent0005585,Strumigenys,Strumigenys lucomo,myrmicinae,train,data/images/Strumigenys/casent0005585_p.jpg
casent0005586,Strumigenys,Strumigenys lucomo,myrmicinae,test,data/images/Strumigenys/casent0005586_p.jpg
casent0005587,Strumigenys,Strumigenys lucomo,myrmicinae,train,data/images/Strumigenys/casent0005587_p.jpg
casent0005588,Strumigenys,Strumigenys lucomo,myrmicinae,test,data/images/Strumigenys/casent0005588_p.jpg
casent0005589,Strumigenys,Strumigenys lura,myrmicinae,train,data/images/Strumigenys/casent0005589_p.jpg
casent0005590,Strumigenys,Strumigenys lura,myrmicinae,train,data/images/Strumigenys/casent0005590_p.jpg
casent0005591,Strumigenys,Strumigenys lura,myrmicinae,test,data/images/Strumigenys/casent0005591_p.jpg
casent0005592,Strumigenys,Strumigenys lura,myrmicinae,train,data/images/Strumigenys/casent0005592_p.jpg
casent0005593,Strumigenys,Strumigenys lutron,myrmicinae,train,data/images/Strumigenys/casent0005593_p.jpg
casent0005594,Strumigenys,Strumigenys lutron,myrmicinae,test,data/images/Strumigenys/casent0005594_p.jpg
casent0005595,Strumigenys,Strumigenys lutron,myrmicinae,train,data/images/Strumigenys/casent0005595_p.jpg
casent0005596,Strumigenys,Strumigenys lysis,myrmicinae,train,data/images/Strumigenys/casent0005596_p.jpg
casent0005597,Strumigenys,Strumigenys lysis,myrmicinae,test,data/images/Strumigenys/casent0005597_p.jpg
casent0005598,Strumigenys,Strumigenys lysis,myrmicinae,train,data/images/Strumigenys/casent0005598_p.jpg
casent0005599,Strumigenys,Strumigenys lysis,myrmicinae,train,data/images/Strumigenys/casent0005599_p.jpg
casent0005601,Strumigenys,Strumigenys manga,myrmicinae,train,data/images/Strumigenys/casent0005601_p.jpg
casent0005602,Strumigenys,Strumigenys micrans,myrmicinae,train,data/images/Strumigenys/casent0005602_p.jpg
casent0005603,Strumigenys,Strumigenys milae,myrmicinae,train,data/images/Strumigenys/casent0005603_p.jpg
casent0005604,Strumigenys,Strumigenys milae,myrmicinae,train,data/images/Strumigenys/casent0005604_p.jpg
casent0005605,Strumigenys,Strumigenys mola,myrmicinae,train,data/images/Strumigenys/casent0005605_p.jpg
casent0005608,Strumigenys,Strumigenys mola,myrmicinae,test,data/images/Strumigenys/casent0005608_p.jpg
casent0005609,Strumigenys,Strumigenys nambao,myrmicinae,train,data/images/Strumigenys/casent0005609_p.jpg
casent0005610,Strumigenys,Strumigenys nambao,myrmicinae,train,data/images/Strumigenys/casent0005610_p.jpg
casent0005611,Strumigenys,Strumigenys nambao,myrmicinae,train,data/images/Strumigenys/casent0005611_p.jpg
casent0005612,Strumigenys,Strumigenys nambao,myrmicinae,train,data/images/Strumigenys/casent0005612_p.jpg
casent0005613,Strumigenys,Strumigenys norax,myrmicinae,train,data/images/Strumigenys/casent0005613_p.jpg
casent0005614,Strumigenys,Strumigenys norax,myrmicinae,train,data/images/Strumigenys/casent0005614_p.jpg
casent0005615,Strumigenys,Strumigenys norax,myrmicinae,test,data/images/Strumigenys/casent0005615_p.jpg
casent0005616,Strumigenys,Strumigenys norax,myrmicinae,test,data/images/Strumigenys/casent0005616_p.jpg
casent0005617,Strumigenys,Strumigenys odacon,myrmicinae,train,data/images/Strumigenys/casent0005617_p.jpg
casent0005618,Strumigenys,Strumigenys odacon,myrmicinae,train,data/images/Strumigenys/casent0005618_p.jpg
casent0005619,Strumigenys,Strumigenys odacon,myrmicinae,test,data/images/Strumigenys/casent0005619_p.jpg
casent0005620,Strumigenys,Strumigenys odacon,myrmicinae,test,data/images/Strumigenys/casent0005620_p.jpg
casent0005622,Strumigenys,Strumigenys origo,myrmicinae,test,data/images/Strumigenys/casent0005622_p.jpg
casent0005623,Strumigenys,Strumigenys origo,myrmicinae,train,data/images/Strumigenys/casent0005623_p.jpg
casent0005624,Strumigenys,Strumigenys origo,myrmicinae,test,data/images/Strumigenys/casent0005624_p.jpg
casent0005625,Strumigenys,Strumigenys peyrierasi,myrmicinae,train,data/images/Strumigenys/casent0005625_p.jpg
casent0005626,Strumigenys,Strumigenys rabesoni,myrmicinae,train,data/images/Strumigenys/casent0005626_p.jpg
casent0005627,Strumigenys,Strumigenys rabesoni,myrmicinae,train,data/images/Strumigenys/casent0005627_p.jpg
casent0005628,Strumigenys,Strumigenys rabesoni,myrmicinae,train,data/images/Strumigenys/casent0005628_p.jpg
casent0005629,Strumigenys,Strumigenys ravola,myrmicinae,test,data/images/Strumigenys/casent0005629_p.jpg
casent0005630,Strumigenys,Strumigenys rubigus,myrmicinae,train,data/images/Strumigenys/casent0005630_p.jpg
casent0005631,Strumigenys,Strumigenys schuetzi,myrmicinae,train,data/images/Strumigenys/casent0005631_p.jpg
casent0005632,Strumigenys,Strumigenys schuetzi,myrmicinae,train,data/images/Strumigenys/casent0005632_p.jpg
casent0005633,Strumigenys,Strumigenys schuetzi,myrmicinae,train,data/images/Strumigenys/casent0005633_p.jpg
casent0005634,Strumigenys,Strumigenys schuetzi,myrmicinae,train,data/images/Strumigenys/casent0005634_p.jpg
casent0005635,Strumigenys,Strumigenys sphera,myrmicinae,train,data/images/Strumigenys/casent0005635_p.jpg
casent0005636,Strumigenys,Strumigenys sphera,myrmicinae,train,data/images/Strumigenys/casent0005636_p.jpg
casent0005637,Strumigenys,Strumigenys sphera,myrmicinae,train,data/images/Strumigenys/casent0005637_p.jpg
casent0005638,Strumigenys,Strumigenys sphera,myrmicinae,train,data/images/Strumigenys/casent0005638_p.jpg
casent0005639,Strumigenys,Strumigenys sylvaini,myrmicinae,test,data/images/Strumigenys/casent0005639_p.jpg
casent0005640,Strumigenys,Strumigenys sylvaini,myrmicinae,train,data/images/Strumigenys/casent0005640_p.jpg
casent0005641,Strumigenys,Strumigenys sylvaini,myrmicinae,train,data/images/Strumigenys/casent0005641_p.jpg
casent0005642,Strumigenys,Strumigenys tegar,myrmicinae,train,data/images/Strumigenys/casent0005642_p.jpg
casent0005643,Strumigenys,Strumigenys toma,myrmicinae,train,data/images/Strumigenys/casent0005643_p.jpg
casent0005644,Strumigenys,Strumigenys vazimba,myrmicinae,train,data/images/Strumigenys/casent0005644_p.jpg
casent0005645,Strumigenys,Strumigenys vazimba,myrmicinae,train,data/images/Strumigenys/casent0005645_p.jpg
casent0005646,Strumigenys,Strumigenys vazimba,myrmicinae,train,data/images/Strumigenys/casent0005646_p.jpg
casent0005647,Strumigenys,Strumigenys vazimba,myrmicinae,test,data/images/Strumigenys/casent0005647_p.jpg
casent0005889,Strumigenys,Pyramica ludovici,myrmicinae,train,data/images/Strumigenys/casent0005889_p.jpg
casent0005890,Strumigenys,Strumigenys maxillaris,myrmicinae,train,data/images/Strumigenys/casent0005890_p.jpg
casent0005891,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005891_p.jpg
casent0005892,Strumigenys,Strumigenys alperti,myrmicinae,train,data/images/Strumigenys/casent0005892_p.jpg
casent0005893,Strumigenys,Strumigenys coveri,myrmicinae,train,data/images/Strumigenys/casent0005893_p.jpg
casent0005896,Strumigenys,Strumigenys grandidieri,myrmicinae,train,data/images/Strumigenys/casent0005896_p.jpg
casent0005897,Strumigenys,Strumigenys rogeri,myrmicinae,train,data/images/Strumigenys/casent0005897_p.jpg
casent0005899,Strumigenys,Strumigenys wardi,myrmicinae,train,data/images/Strumigenys/casent0005899_p.jpg
casent0005964,Cardiocondyla,Cardiocondyla emeryi,myrmicinae,train,data/images/Cardiocondyla/casent0005964_p.jpg
casent0005965,Anochetus,Anochetus grandidieri,ponerinae,train,data/images/Anochetus/casent0005965_p.jpg
casent0005966,Anochetus,Anochetus madagascarensis,ponerinae,train,data/images/Anochetus/casent0005966_p.jpg
casent0005967,Odontomachus,Odontomachus coquereli,ponerinae,test,data/images/Odontomachus/casent0005967_p.jpg
casent0005968,Odontomachus,Odontomachus coquereli,ponerinae,train,data/images/Odontomachus/casent0005968_p.jpg
casent0005969,Technomyrmex,Technomyrmex fisheri,dolichoderinae,train,data/images/Technomyrmex/casent0005969_p.jpg
casent0005970,Tapinoma,Tapinoma pallipes,dolichoderinae,train,data/images/Tapinoma/casent0005970_p.jpg
casent0005986,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005986_p.jpg
casent0005987,Strumigenys,Strumigenys victrix,myrmicinae,train,data/images/Strumigenys/casent0005987_p.jpg
casent0005988,Strumigenys,Strumigenys victrix,myrmicinae,train,data/images/Strumigenys/casent0005988_p.jpg
casent0005989,Strumigenys,Pyramica ludovici,myrmicinae,train,data/images/Strumigenys/casent0005989_p.jpg
casent0005990,Strumigenys,Strumigenys ambatrix,myrmicinae,train,data/images/Strumigenys/casent0005990_p.jpg
casent0005991,Strumigenys,Strumigenys fautrix,myrmicinae,test,data/images/Strumigenys/casent0005991_p.jpg
casent0005992,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005992_p.jpg
casent0005993,Strumigenys,,myrmicinae,train,data/images/Strumigenys/casent0005993_p.jpg
casent0005994,Strumigenys,Strumigenys serket,myrmicinae,train,data/images/Strumigenys/casent0005994_p.jpg
casent0005995,Strumigenys,Strumigenys seti,myrmicinae,test,data/images/Strumigenys/casent0005995_p.jpg
casent0005996,Strumigenys,Strumigenys maxillaris,myrmicinae,test,data/images/Strumigenys/casent0005996_p.jpg
casent0005999,Strumigenys,Strumigenys maxillaris,myrmicinae,train,data/images/Strumigenys/casent0005999_p.jpg
casent0006000,Strumigenys,Strumigenys erynnes,myrmicinae,train,data/images/Strumigenys/casent0006000_p.jpg
casent0006026,Strumigenys,Strumigenys victrix,myrmicinae,test,data/images/Strumigenys/casent0006026_p.jpg
casent0006027,Strumigenys,Pyramica ludovici,myrmicinae,test,data/images/Strumigenys/casent0006027_p.jpg
casent0006028,Strumigenys,Strumigenys fautrix,myrmicinae,train,data/images/Strumigenys/casent0006028_p.jpg
casent0006083,Mystrium,Mystrium oberthueri,amblyoponinae,train,data/images/Mystrium/casent0006083_p.jpg
casent0006839,Technomyrmex,Technomyrmex voeltzkowi,dolichoderinae,train,data/images/Technomyrmex/casent0006839_p.jpg
casent0007734,Anochetus,Anochetus grandidieri,ponerinae,train,data/images/Anochetus/casent0007734_p.jpg
casent0007735,Nylanderia,Nylanderia amblyops,formicinae,train,data/images/Nylanderia/casent0007735_p.jpg
casent0007736,Tetramorium,Tetramorium electrum,myrmicinae,train,data/images/Tetramorium/casent0007736_p.jpg
casent0008659,Tapinoma,Tapinoma melanocephalum,dolichoderinae,test,data/images/Tapinoma/casent0008659_p.jpg
casent0009349,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009349_p.jpg
casent0009409,Odontomachus,Odontomachus coquereli,ponerinae,train,data/images/Odontomachus/casent0009409_p.jpg
casent0009965,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009965_p.jpg
casent0009966,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009966_p.jpg
casent0009967,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009967_p.jpg
casent0009968,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009968_p.jpg
casent0009969,Mystrium,Mystrium rogeri,amblyoponinae,train,data/images/Mystrium/casent0009969_p.jpg
casent0010765,Monomorium,Monomorium termitobium,myrmicinae,test,data/images/Monomorium/casent0010765_p.jpg
casent0010867,Syllophopsis,Syllophopsis infusca,myrmicinae,test,data/images/Syllophopsis/casent0010867_p.jpg
casent0011075,Cataulacus,Cataulacus porcatus,myrmicinae,test,data/images/Cataulacus/casent0011075_p.jpg
casent0012835,Tetraponera,Tetraponera morondaviensis,pseudomyrmecinae,train,data/images/Tetraponera/casent0012835_p.jpg
